Temperature 			 Specific Heat 			 Magnetisation 			 Error
1.0 			 0.021699 			 -0.999257 			 0.001008
1.2 			 0.063501 			 -0.997061 			 0.003025
1.4 			 0.143687 			 -0.991326 			 0.007232
1.6 			 0.246012 			 -0.979631 			 0.010214
1.8 			 0.4094249 			  0.956806			 0.018126
2.0 			 0.633384 			 -0.912673 			 0.027722
2.2 			 1.774633 			 -0.754208 			 0.070235
2.4 			 1.287488 			 -0.108973 			 0.049541
2.6 			 0.810484 			 0.027951 			 0.035537
2.8 			 0.547917 			 -0.003560 			 0.029529
3.0 			 0.360364 			 0.019157 			 0.016694
3.2 			 0.312894 			 0.001329 			 0.014001
3.4 			 0.298873 			 -0.002179 			 0.012906
3.6 			 0.221260 			 -0.001352 			 0.010184
3.8 			 0.225202 			 -0.003936 			 0.011004
4.0 			 0.174152 			 -0.002095 			 0.007303
4.2 			 0.149499 			 -0.002194 			 0.006298
4.4 			 0.137919 			 -0.001661 			 0.005993
4.6 			 0.120124 			 -0.001687 			 0.005326
4.8 			 0.107002 			 -0.000951 			 0.004674
